id,lead_actor_1,lead_actor_2,lead_actor_3,lead_actor_4
547,Robert Redford,Kristin Scott Thomas,Sam Neill,Scarlett Johansson
548,Toshirō Mifune,Machiko Kyō,Takashi Shimura,Masayuki Mori
549,Jeffrey Wright,David Bowie,Dennis Hopper,Gary Oldman
550,Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf
551,Gene Hackman,Ernest Borgnine,Red Buttons,Carol Lynley
552,Licia Maglietta,Bruno Ganz,Giuseppe Battiston,Antonio Catania
553,Nicole Kidman,Harriet Andersson,Lauren Bacall,Jean-Marc Barr
554,Anni-Kristiina Juuso,Ville Haapasalo,Viktor Bychkov,Mikhail Korobochkin
557,Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco
558,Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina
559,Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church
560,Joan Bennett,Michael Redgrave,Anne Revere,Barbara O'Neil
561,Keanu Reeves,Rachel Weisz,Shia LaBeouf,Djimon Hounsou
562,Bruce Willis,Alan Rickman,Alexander Godunov,Bonnie Bedelia
563,Casper Van Dien,Dina Meyer,Denise Richards,Jake Busey
564,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo
565,Naomi Watts,Martin Henderson,David Dorfman,Brian Cox
567,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter
568,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise
570,Anaïs Reboux,Roxane Mesquida,Libero De Rienzo,Arsinée Khanjian
571,Tippi Hedren,Rod Taylor,Jessica Tandy,Suzanne Pleshette
572,Kristoffer Joner,Cecilie A. Mosli,Julia Schacht,Michael Nyqvist
573,Jon Finch,Barry Foster,Barbara Leigh-Hunt,Anna Massey
574,James Stewart,Doris Day,Brenda De Banzie,Bernard Miles
575,Moritz Bleibtreu,Christian Berkel,Oliver Stokowski,Wotan Wilke Möhring
576,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien
577,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck
578,Roy Scheider,Richard Dreyfuss,Robert Shaw,Murray Hamilton
579,Roy Scheider,Lorraine Gary,Murray Hamilton,Joseph Mascolo
580,Lorraine Gary,Lance Guest,Mario Van Peebles,Michael Caine
581,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant
582,Martina Gedeck,Ulrich Mühe,Sebastian Koch,Ulrich Tukur
583,Graham Chapman,John Cleese,Terry Gilliam,Eric Idle
584,Paul Walker,Tyrese Gibson,Eva Mendes,Ludacris
585,John Goodman,Billy Crystal,Mary Gibbs,Steve Buscemi
586,Dustin Hoffman,Robert De Niro,Anne Heche,Woody Harrelson
587,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange
588,Radha Mitchell,Sean Bean,Jodelle Ferland,Laurie Holden
590,Nicole Kidman,Julianne Moore,Meryl Streep,Stephen Dillane
591,Tom Hanks,Audrey Tautou,Ian McKellen,Jean Reno
592,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest
593,Donatas Banionis,Natalya Bondarchuk,Jüri Järvet,Anatoliy Solonitsyn
594,Tom Hanks,Catherine Zeta-Jones,Stanley Tucci,Chi McBride
595,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy
596,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin
597,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates
598,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva
599,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson
600,Matthew Modine,Adam Baldwin,Vincent D'Onofrio,R. Lee Ermey
601,Henry Thomas,Drew Barrymore,Robert MacNaughton,Peter Coyote
602,Will Smith,Jeff Goldblum,Bill Pullman,Margaret Colin
603,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving
604,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving
605,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving
606,Robert Redford,Meryl Streep,Klaus Maria Brandauer,Michael Kitchen
607,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio
608,Will Smith,Tommy Lee Jones,Lara Flynn Boyle,Rosario Dawson
609,Craig T. Nelson,JoBeth Williams,Beatrice Straight,Dominique Dunne
612,Eric Bana,Daniel Craig,Ciarán Hinds,Mathieu Kassovitz
613,Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch,Ulrich Matthes
614,Victor Sjöström,Ingrid Thulin,Bibi Andersson,Gunnar Sjöberg
615,Jim Caviezel,Maia Morgenstern,Christo Jivkov,Francesco De Vito
616,Tom Cruise,Ken Watanabe,Timothy Spall,Tony Goldwyn
617,Kevin Bacon,Matt Dillon,Neve Campbell,Denise Richards
618,Lillian Gish,Mae Marsh,Henry B. Walthall,Miriam Cooper
619,Whitney Houston,Kevin Costner,Gary Kemp,Bill Cobbs
620,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis
621,John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway
622,Johnny Depp,Frank Langella,Lena Olin,Emmanuelle Seigner
623,Jamie Lee Curtis,John Cleese,Kevin Kline,Michael Palin
624,Peter Fonda,Dennis Hopper,Antonio Mendoza,Phil Spector
625,Sam Waterston,Haing S. Ngor,Craig T. Nelson,John Malkovich
626,Simone Mareuil,Pierre Batcheff,Luis Buñuel,Salvador Dalí
627,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle
628,Brad Pitt,Tom Cruise,Kirsten Dunst,Antonio Banderas
629,Gabriel Byrne,Stephen Baldwin,Kevin Spacey,Chazz Palminteri
630,Judy Garland,Ray Bolger,Jack Haley,Bert Lahr
631,George O’Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing
632,William Holden,Don Taylor,Otto Preminger,Robert Strauss
633,Rutger Hauer,Jeroen Krabbé,Lex van Delden,Derek de Lint
634,Renée Zellweger,Colin Firth,Hugh Grant,Gemma Jones
635,Charlotte Rampling,Mickey Rourke,Lisa Bonet,Robert De Niro
636,Robert Duvall,Donald Pleasence,Don Pedro Colley,Maggie McOmie
637,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
638,Bill Pullman,Patricia Arquette,Balthazar Getty,Robert Blake
639,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby
640,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen
641,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans
642,Paul Newman,Robert Redford,Katharine Ross,Strother Martin
643,Aleksandr Antonov,Vladimir Barsky,Grigori Aleksandrov,Ivan Bobrov
644,Haley Joel Osment,Jude Law,Frances O'Connor,Sam Robards
646,Sean Connery,Ursula Andress,Joseph Wiseman,Jack Lord
647,Takahiro Sakurai,Ayumi Ito,Showtaro Morikubo,Maaya Sakamoto
648,Jean Marais,Josette Day,Marcel André,Mila Parély
649,Catherine Deneuve,Jean Sorel,Michel Piccoli,Geneviève Page
650,Laurence Fishburne,Cuba Gooding Jr.,Ice Cube,Morris Chestnut
651,Donald Sutherland,Elliott Gould,Tom Skerritt,Sally Kellerman
652,Brad Pitt,Orlando Bloom,Eric Bana,Brian Cox
653,Max Schreck,Gustav von Wangenheim,Greta Schröder,Alexander Granach
654,Marlon Brando,Karl Malden,Lee J. Cobb,Eva Marie Saint
655,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Hunter Carson
657,Sean Connery,Daniela Bianchi,Pedro Armendáriz,Lotte Lenya
658,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton
659,Mario Adorf,Angela Winkler,David Bennent,Katharina Thalbach
660,Sean Connery,Claudine Auger,Adolfo Celi,Luciana Paluzzi
661,Hanna Schygulla,Klaus Löwitsch,Ivan Desny,George Eagles
662,Davos Hanich,Hélène Chatelain,Jean Négroni,Jacques Ledoux
663,Tobin Bell,Costas Mandylor,Scott Patterson,Betsy Russell
664,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz
665,Charlton Heston,Haya Harareet,Stephen Boyd,Martha Scott
666,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Othon Bastos
667,Sean Connery,Akiko Wakabayashi,Mie Hama,Tetsurō Tamba
668,George Lazenby,Diana Rigg,Telly Savalas,Gabriele Ferzetti
669,Allakariallak,Nyla,Cunayou,Allegoo
670,Choi Min-sik,Yoo Ji-tae,Kang Hye-jung,Kim Byung-ok
671,Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris
672,Daniel Radcliffe,Rupert Grint,Emma Watson,Kenneth Branagh
673,Daniel Radcliffe,Rupert Grint,Emma Watson,Gary Oldman
674,Daniel Radcliffe,Rupert Grint,Emma Watson,Ralph Fiennes
675,Daniel Radcliffe,Rupert Grint,Emma Watson,Michael Gambon
676,Ben Affleck,Kate Beckinsale,Josh Hartnett,Cuba Gooding Jr.
677,David Albritton,Jack Beresford,Henri de Baillet-Latour,Philip Edwards
678,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming
679,Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser
680,John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis
681,Sean Connery,Jill St. John,Charles Gray,Lana Wood
682,Roger Moore,Christopher Lee,Britt Ekland,Maud Adams
686,Jodie Foster,Matthew McConaughey,James Woods,John Hurt
687,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry
688,Meryl Streep,Clint Eastwood,Annie Corley,Victor Slezak
690,Martin LaSalle,Marika Green,Jean Pélégri,Dolly Scal
691,Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel
692,Divine,David Lochary,Mary Vivian Pearce,Mink Stole
693,Ben Stiller,Robert De Niro,Dustin Hoffman,Barbra Streisand
694,Jack Nicholson,Shelley Duvall,Scatman Crothers,Danny Lloyd
695,Andie MacDowell,Bruce Davison,Jack Lemmon,Zane Cassidy
696,Woody Allen,Diane Keaton,Michael Murphy,Mariel Hemingway
697,Vladimir Popov,Vasili Nikandrov,Layaschenko,Boris Livanov
698,Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel
699,Roger Moore,Carole Bouquet,Chaim Topol,Lynn-Holly Johnson
700,Roger Moore,Maud Adams,Louis Jourdan,Kristina Wayborn
701,Buster Keaton,Joe Roberts,Natalie Talmadge,Francis X. Bushman Jr.
702,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden
703,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane
704,John Lennon,Paul McCartney,George Harrison,Ringo Starr
705,Bette Davis,Anne Baxter,George Sanders,Celeste Holm
707,Roger Moore,Christopher Walken,Tanya Roberts,Grace Jones
708,Timothy Dalton,Maryam d'Abo,Jeroen Krabbé,Joe Don Baker
709,Timothy Dalton,Carey Lowell,Robert Davi,Talisa Soto
710,Pierce Brosnan,Izabella Scorupco,Famke Janssen,Sean Bean
711,Sean Connery,Rob Brown,F. Murray Abraham,Anna Paquin
712,Hugh Grant,Andie MacDowell,James Fleet,Simon Callow
713,Holly Hunter,Harvey Keitel,Sam Neill,Anna Paquin
714,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher
742,Lisa Lindgren,Michael Nyqvist,Emma Samuelsson,Sam Kessel
744,Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards
745,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams
746,John Lone,Peter O'Toole,Joan Chen,Vivian Wu
747,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis
750,Margaret Rutherford,Arthur Kennedy,Muriel Pavlow,James Robertson Justice
751,Margaret Rutherford,Stringer Davis,Robert Morley,Flora Robson
752,Natalie Portman,Hugo Weaving,Stephen Rea,Stephen Fry
753,John Marley,Gena Rowlands,Lynn Carlin,Fred Draper
754,John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola
755,George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis
756,Deems Taylor,Walt Disney,Julietta Novis,Leopold Stokowski
757,Margaret Rutherford,Ron Moody,Charles Tingwell,Andrew Cruickshank
758,Margaret Rutherford,Stringer Davis,Lionel Jeffries,Charles Tingwell
759,Jane Russell,Marilyn Monroe,Charles Coburn,Elliott Reid
760,Louis de Funès,Suzy Delair,Marcel Dalio,Claude Giraud
761,Louis de Funès,Coluche,Ann Zacharias,Julien Guiomar
762,Graham Chapman,John Cleese,Eric Idle,Terry Gilliam
763,Timothy Balme,Diana Peñalver,Elizabeth Moody,Ian Watkin
764,Bruce Campbell,Ellen Sandweiss,Richard DeManincor,Betsy Baker
765,Bruce Campbell,Sarah Berry,Dan Hicks,Kassie DePaiva
766,Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Ian Abercrombie
767,Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton
768,Johnny Depp,Heather Graham,Ian Holm,Robbie Coltrane
769,Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco
770,Vivien Leigh,Clark Gable,Olivia de Havilland,Leslie Howard
771,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard
772,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara
773,Greg Kinnear,Toni Collette,Steve Carell,Paul Dano
774,x,x,x,x
775,Georges Méliès,Bleuette Bernon,Victor André,Henri Delannoy
776,Nora Gregor,Paulette Dubost,Mila Parély,Odette Talazac
777,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim
778,Jacques Tati,Nathalie Pascaud,Micheline Rolla,Louis Perrault
779,Nicolas de Gunzburg,Maurice Schutz,Rena Mandel,Sybille Schmitz
780,Maria Falconetti,Eugène Silvain,André Berley,Maurice Schutz
782,Ethan Hawke,Uma Thurman,Jude Law,Alan Arkin
783,Ben Kingsley,Candice Bergen,Edward Fox,John Gielgud
784,Andrei Chalimon,Zdeněk Svěrák,Libuše Šafránková,Stella Zázvorková
786,Patrick Fugit,Billy Crudup,Kate Hudson,Frances McDormand
787,Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody
788,Robin Williams,Sally Field,Pierce Brosnan,Lisa Jakub
789,Václav Neckář,Josef Somr,Vlastimil Brodský,Vladimír Valenta
790,Adrienne Barbeau,Jamie Lee Curtis,Hal Holbrook,Janet Leigh
791,Tom Welling,Maggie Grace,Selma Blair,DeRay Davis
792,Charlie Sheen,Willem Dafoe,Johnny Depp,Forest Whitaker
793,Kyle MacLachlan,Isabella Rossellini,Dennis Hopper,Laura Dern
794,Gregory Peck,Lee Remick,David Warner,Billie Whitelaw
795,Nicolas Cage,Meg Ryan,Andre Braugher,Dennis Franz
796,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon,Selma Blair
797,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand
800,Alfonso Mejía,Estela Inda,Efraín Arauz,Miguel Inclán
801,Robin Williams,Forest Whitaker,Tung Thanh Tran,Chintara Sukapatana
802,James Mason,Shelley Winters,Sue Lyon,Gary Cockrell
803,Michel Bouquet,Reinhard Heydrich,Heinrich Himmler,Adolf Hitler
804,Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power
805,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer
806,Liev Schreiber,Julia Stiles,Seamus Davey-Fitzpatrick,David Thewlis
807,Morgan Freeman,Brad Pitt,Gwyneth Paltrow,Kevin Spacey
808,Mike Myers,Eddie Murphy,Cameron Diaz,John Lithgow
809,Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews
810,Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas
811,Bruce Dern,Cliff Potts,Ron Rifkin,Jesse Vint
812,Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman
813,Robert Hays,Julie Hagerty,Leslie Nielsen,Kareem Abdul-Jabbar
814,David Naughton,Jenny Agutter,Griffin Dunne,John Woodvine
815,Kelsey Grammer,Ian Holm,Julia Louis-Dreyfus,Julia Ormond
816,Mike Myers,Elizabeth Hurley,Michael York,Mimi Rogers
817,Mike Myers,Heather Graham,Michael York,Robert Wagner
818,Mike Myers,Beyoncé,Seth Green,Michael York
819,Kevin Bacon,Billy Crudup,Robert De Niro,Ron Eldard
820,Kevin Costner,Tommy Lee Jones,Gary Oldman,Kevin Bacon
821,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich
822,Chhabi Biswas,Padmadevi,Kali Sarkar,Gangapada Basu
823,Yoshikatsu Fujiki,Sumi Mutou,Hiroyuki Kinosha,Eri Sendai
824,Nicole Kidman,Ewan McGregor,John Leguizamo,Jim Broadbent
825,Gillian Anderson,Ellen Burstyn,Sean Connery,Anthony Edwards
826,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa
827,Véra Clouzot,Simone Signoret,Jean Brochard,Pierre Larquey
828,Michael Rennie,Patricia Neal,Billy Gray,Sam Jaffe
829,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez
830,Walter Pidgeon,Anne Francis,Leslie Nielsen,Warren Stevens
831,Rex Reason,Faith Domergue,Jeff Morrow,Lance Fuller
832,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke
833,Carlo Battisti,Maria Pia Casilio,Lina Gennari,Elena Rea
834,Kate Beckinsale,Scott Speedman,Tony Curran,Shane Brolly
837,James Woods,Sonja Smits,Debbie Harry,Peter Dvorsky
838,Richard Dreyfuss,Ron Howard,Paul Le Mat,Charles Martin Smith
839,Dennis Weaver,Jacqueline Scott,Eddie Firestone,Lou Frizzell
840,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon
841,Kyle MacLachlan,Francesca Annis,Patrick Stewart,Linda Hunt
842,Sean Penn,Don Cheadle,Jack Thompson,Mykelti Williamson
843,Tony Leung Chiu-wai,Maggie Cheung,Rebecca Pan,Kelly Lai Chen
844,Tony Leung Chiu-wai,Gong Li,Faye Wong,Takuya Kimura
845,Farley Granger,Ruth Roman,Robert Walker,Leo G. Carroll
846,David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis
847,Warwick Davis,Val Kilmer,Joanne Whalley,Jean Marsh
848,Peter MacNicol,Caitlin Clarke,Ralph Richardson,John Hallam
849,Ken Marshall,Lysette Anthony,Freddie Jones,Francesca Annis
850,Melinda Dillon,Darren McGavin,Peter Billingsley,Jean Shepherd
851,Celia Johnson,Trevor Howard,Stanley Holloway,Joyce Carey
852,Heinz Rühmann,Sigfrit Steiner,Siegfried Lowitz,Michel Simon
853,Jude Law,Joseph Fiennes,Rachel Weisz,Ed Harris
854,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene
855,Josh Hartnett,Ewan McGregor,Eric Bana,Jason Isaacs
856,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer
857,Tom Hanks,Tom Sizemore,Edward Burns,Matt Damon
858,Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson
859,Glenn Close,John Malkovich,Michelle Pfeiffer,Swoosie Kurtz
860,Matthew Broderick,Dabney Coleman,John Wood,Ally Sheedy
861,Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,Ronny Cox
862,Tom Hanks,Tim Allen,Don Rickles,Jim Varney
863,Tom Hanks,Tim Allen,Joan Cusack,Kelsey Grammer
864,Leon,Doug E. Doug,Rawle D. Lewis,Malik Yoba
865,Arnold Schwarzenegger,Richard Dawson,María Conchita Alonso,Yaphet Kotto
866,Johnny Depp,Kate Winslet,Julie Christie,Dustin Hoffman
867,Sharon Stone,William Baldwin,Tom Berenger,Polly Walker
868,Presley Chweneyagae,Jerry Mofokeng,Terry Pheto,Rapulana Seiphemo
869,Mark Wahlberg,Tim Roth,Helena Bonham Carter,Michael Clarke Duncan
870,Miho Kanno,Hidetoshi Nishijima,Tatsuya Mihashi,Chieko Matsubara
871,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans
872,Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen
873,Danny Glover,Whoopi Goldberg,Margaret Avery,Oprah Winfrey
874,Paul Scofield,Wendy Hiller,Leo McKern,Robert Shaw
875,Marlene Dietrich,Clive Brook,Anna May Wong,Warner Oland
877,Paul Muni,Ann Dvorak,Karen Morley,Osgood Perkins
878,Heinz Rühmann,Karin Himboldt,Hilde Sessak,Erich Ponto
879,Robin Williams,Dustin Hoffman,Julia Roberts,Bob Hoskins
880,Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,Veerle van Overloop
881,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Pollak
883,Roberto Benigni,Steven Wright,Joie Lee,Cinqué Lee
884,James Spader,Holly Hunter,Elias Koteas,Deborah Kara Unger
886,Steve McQueen,Edward G. Robinson,Ann-Margret,Karl Malden
887,Myrna Loy,Fredric March,Dana Andrews,Teresa Wright
888,John Goodman,Elizabeth Perkins,Rick Moranis,Rosie O'Donnell
889,Mark Addy,Stephen Baldwin,Kristen Johnston,Jane Krakowski
891,Martin Balsam,Jack Warden,Robert Redford,Dustin Hoffman
892,Dominique Pinon,Marie-Laure Dougnac,Jean-Claude Dreyfus,Karin Viard
895,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolai Sergeyev
896,Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,Swapan Mukherjee
897,Kanu Bannerjee,Karuna Banerjee,Smaran Ghosal,Pinaki Sengupta
898,Burt Lancaster,Karl Malden,Thelma Ritter,Neville Brand
899,Lillian Gish,Richard Barthelmess,Donald Crisp,Arthur Howard
900,Katharine Hepburn,Cary Grant,Charles Ruggles,Walter Catlett
901,Charlie Chaplin,Virginia Cherrill,Harry Myers,Al Ernest Garcia
902,Ron Perlman,Dominique Pinon,Judith Vittet,Daniel Emilfork
903,Paul Newman,George Kennedy,Luke Askew,Morgan Woodward
905,Louise Brooks,Fritz Kortner,Francis Lederer,Carl Goetz
907,Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger
909,Judy Garland,Margaret O'Brien,Mary Astor,Lucille Bremer
910,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers
911,W.C. Fields,Cora Witherspoon,Una Merkel,Evelyn Del Rio
912,Steve McQueen,Faye Dunaway,Paul Burke,Jack Weston
913,Pierce Brosnan,Rene Russo,Denis Leary,Ben Gazzara
914,Charlie Chaplin,Jack Oakie,Reginald Gardiner,Henry Daniell
916,Steve McQueen,Robert Vaughn,Jacqueline Bisset,Don Gordon
917,Nargis,Sunil Dutt,Rajendra Kumar,Raaj Kumar
918,Kim Basinger,Bruce Willis,John Larroquette,William Daniels
919,Youki Kudoh,Saemi Nakamura,Joe Romersa,Rebecca Forstadt
920,Owen Wilson,Bonnie Hunt,Paul Newman,Larry the Cable Guy
921,Russell Crowe,Renée Zellweger,Paul Giamatti,Craig Bierko
922,Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen
923,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross
924,Sarah Polley,Ving Rhames,Jake Weber,Mekhi Phifer
925,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson
926,Tim Allen,Sigourney Weaver,Alan Rickman,Tony Shalhoub
927,Zach Galligan,Phoebe Cates,Hoyt Axton,Frances Lee McCain
928,Zach Galligan,Phoebe Cates,John Glover,Robert Prosky
929,Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria
931,Julie Christie,Donald Sutherland,Hilary Mason,Massimo Serato
934,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey
935,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn
936,David Niven,Peter Sellers,Claudia Cardinale,Capucine
938,Clint Eastwood,Lee Van Cleef,Gian Maria Volonté,Luigi Pistilli
939,Al Jolson,May McAvoy,Warner Oland,Eugenie Besserer
940,Margaret Lockwood,Michael Redgrave,May Whitty,Paul Lukas
941,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan
942,Mel Gibson,Danny Glover,Joe Pesci,Joss Ackland
943,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo
944,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo
946,Joan Fontaine,Louis Jourdan,Mady Christians,Marcel Journet
947,Peter O'Toole,Omar Sharif,Alec Guinness,Jack Hawkins
948,Donald Pleasence,Jamie Lee Curtis,Nancy Kyes,P.J. Soles
949,Al Pacino,Robert De Niro,Val Kilmer,Tom Sizemore
950,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah
951,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,Linda Hunt
953,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith
954,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny
955,Tom Cruise,Dougray Scott,Thandiwe Newton,Ving Rhames
956,Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Billy Crudup
957,Bill Pullman,Rick Moranis,Mel Brooks,Daphne Zuniga
961,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley
962,Charlie Chaplin,Georgia Hale,Mack Swain,Tom Murray
963,Humphrey Bogart,Mary Astor,Peter Lorre,Sydney Greenstreet
964,Lon Chaney,Mary Philbin,Norman Kerry,Arthur Edmund Carewe
965,Joseph Cotten,Dolores Costello,Anne Baxter,Tim Holt
966,Yul Brynner,Eli Wallach,Steve McQueen,Charles Bronson
967,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton
968,Al Pacino,John Cazale,Charles Durning,Chris Sarandon
975,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready
976,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner
977,Matahi,Anne Chevalier,Bill Bambridge,Hitu
978,Brad Pitt,Jamyang Jamtsho Wangchuk,David Thewlis,BD Wong
979,Monica Bellucci,Vincent Cassel,Albert Dupontel,Jo Prestia
980,Henry Fonda,Dana Andrews,Mary Beth Hughes,Anthony Quinn
981,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey
982,Frank Sinatra,Laurence Harvey,Angela Lansbury,James Gregory
983,Sean Connery,Michael Caine,Christopher Plummer,Saeed Jaffrey
984,Clint Eastwood,Harry Guardino,Reni Santoni,John Vernon
985,Jack Nance,Charlotte Stewart,Allen Joseph,Jeanne Bates
