id,director
1830,Andrew Niccol
1831,John Schlesinger
1832,Kevin Smith
1833,Chris Columbus
1834,Edward Dmytryk
1835,Dick Richards
1836,Marina de Van
1837,Virginie Wagon
1843,Ondi Timoner
1844,Jon Amiel
1845,Julie Delpy
1846,Paul Bogart
1847,Robert Altman
1850,Miloš Forman
1852,Oliver Stone
1857,Nelson Shin
1858,Michael Bay
1859,Ernst Lubitsch
1863,Vittorio De Sica
1865,Rob Marshall
1870,André Hunebelle
1871,André Hunebelle
1872,Sebastián Gutiérrez
1873,John Boorman
1874,Bille August
1875,André Hunebelle
1878,Terry Gilliam
1879,Stanley Kramer
1880,John Milius
1883,Spike Lee
1884,John Korty
1885,John G. Avildsen
1887,Sofia Coppola
1888,Billy Wilder
1890,Randa Haines
1891,Irvin Kershner
1892,Richard Marquand
1893,George Lucas
1894,George Lucas
1895,George Lucas
1899,Sijie Dai
1900,Steven Soderbergh
1901,Paul Weitz
1902,Alejandro Amenábar
1903,Cameron Crowe
1904,Rob Marshall
1907,Danny Boyle
1908,Stanley Kramer
1909,Jeremy Leven
1911,John McTiernan
1912,Hans Weingartner
1913,Alejandro Amenábar
1915,Wolfgang Büld
1919,Sarah Polley
1920,Gerd Oswald
1921,Pat O'Connor
1922,Sam Garbarski
1923,David Lynch
1924,Richard Donner
1926,Alejandro González Iñárritu
1927,Ang Lee
1930,Marc Webb
1931,Sylvain White
1933,Alejandro Amenábar
1934,John Madden
1936,Otto Preminger
1937,Otto Preminger
1938,Otto Preminger
1939,Otto Preminger
1941,Otto Preminger
1942,Otto Preminger
1944,Tod Williams
1945,Michael Apted
1946,David Cronenberg
1947,Lasse Hallström
1948,Brian Taylor
1949,David Fincher
1950,Curtis Hanson
1951,Lars von Trier
1954,Eric Bress
1955,David Lynch
1956,Gus Van Sant
1957,Michael Apted
1958,François Ozon
1961,Bruce Campbell
1963,Kim Ki-duk
1965,Andrew Davis
1966,Oliver Stone
1967,Robert Towne
1968,Andy Tennant
1969,Joachim Rønning
1970,Takashi Shimizu
1975,Takashi Shimizu
1976,William Wyler
1977,Toby Wilkins
1978,Alfred Hitchcock
1979,Tim Story
1984,Michael Anderson
1985,Fernando Meirelles
1986,Radu Mihăileanu
1987,Michael Haneke
1988,Michael Winterbottom
1989,Wong Kar-wai
1990,Gus Van Sant
1991,Quentin Tarantino
1992,Robert Rodriguez
1993,Emanuele Crialese
1994,Ernest B. Schoedsack
1995,Simon West
1996,Jan de Bont
1997,Jean-Jacques Annaud
1999,Todd Field
2000,Werner Herzog
2001,James Gray
2002,Catherine Breillat
2003,Catherine Breillat
2005,Emile Ardolino
2006,Richard Quine
2007,George Miller
2008,Chen Kaige
2009,Cristian Mungiu
2011,Vincent Paronnaud
2012,Carlos Reygadas
2013,Julian Schnabel
2014,Fatih Akın
2015,Lee Chang-dong
2016,Rachid Bouchareb
2017,Bob Rafelson
2018,Adam Shankman
2019,John Woo
2020,Gary Sinyor
2021,Tim Sullivan
2022,Steven Brill
2023,Joe Johnston
2024,Roland Emmerich
2026,Florent-Emilio Siri
2028,Cameron Crowe
2029,Étienne Chatiliez
2034,Antoine Fuqua
2039,Norman Jewison
2042,Predrag Antonijević
2043,Lee Tamahori
2044,Alejandro Agresti
2045,John Dahl
2046,Sam Raimi
2047,Russell Mulcahy
2048,Alex Proyas
2054,Stephen Herek
2055,Kevin Costner
2056,Tom McCarthy
2057,Michael Cristofer
2058,Griffin Dunne
2059,Jon Turteltaub
2061,Nicolas Winding Refn
2062,Brad Bird
2064,Jon Turteltaub
2067,Brian De Palma
2069,Jonathan Lynn
2071,Wolfgang Petersen
2074,David O. Russell
2075,John Huston
2077,Charlie Chaplin
2078,Charlie Chaplin
2080,Gavin Hood
2082,Rob Zombie
2084,Jez Butterworth
2085,Andrzej Bartkowiak
2086,John Badham
2087,Roger Donaldson
2088,Peter Medak
2089,Guy Manos
2091,Robby Henson
2093,Dick Maas
2098,George Sidney
2099,John Irvin
2100,Rod Lurie
2103,Steven Soderbergh
2105,Chris Weitz
2107,Mick Jackson
2108,John Hughes
2109,Brett Ratner
2110,Gérard Krawczyk
2112,Brian Helgeland
2114,Hironobu Sakaguchi
2116,Carl Franklin
2117,Marc Rothemund
2118,Curtis Hanson
2119,Tony Scott
2122,Howard Deutch
2123,Bobby Farrelly
2124,Richard Rush
2125,Lewis Teague
2133,Wolfgang Petersen
2134,George Pal
2135,Simon Wells
2137,Andrew Lau
